Sr.No.,Locality,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
5896,Rajendra Nagar,-88.36286049,6.81671154,77.84084603,4G,-85.26938864,-93.39709361,-90.26097805
5897,Rajendra Nagar,-83.88582635,3.009895338,66.91438712,4G,-87.27096387,-90.59308645,-86.14649764
5898,Bailey Road,-92.37370968,7.150836788,58.57946301,4G,-90.3263582,-99.64118985,-91.94861553
5899,Gandhi Maidan,-88.73775961,8.417965143,73.99363878,4G,-93.08652799,-98.18695915,-86.33407094
5900,Boring Road,-91.36777801,5.857589873,66.55053111,4G,-89.14360804,-97.60470292,-92.75605485
5901,Boring Road,-90.7489067,9.418736232,75.97989074,4G,-86.14974091,-99.80879093,-93.37112535
5902,Kumhrar,-81.98753096,3.215829,94.65101764,4G,-83.5205151,-90.608137,-79.86215859
5903,Danapur,-88.2777165,1.741179171,187.1316276,LTE,-85.10653376,-94.84515667,-87.80184631
5904,Bailey Road,-91.70999724,4.70710911,63.35335528,4G,-93.97937767,-98.40028638,-89.02058005
5905,Anandpuri,-95.38301404,69.06589685,12.12087378,5G,-99.00723771,-100.5498069,-96.17312409
5906,Fraser Road,-84.58527782,5.81127823,73.66628567,4G,-81.9819053,-91.90775772,-85.51948118
5907,Kidwaipuri,-97.89805994,68.79162807,21.78787331,5G,-97.08277922,-103.6072293,-96.47838148
5908,Kankarbagh,-88.1898279,2.823555191,104.1952917,LTE,-86.74636083,-95.6982513,-88.52347342
5909,Boring Road,-86.36438086,3.653115869,64.92994831,4G,-89.39546948,-96.12542237,-85.61854373
5910,Phulwari Sharif,-87.27263021,1.639440836,148.6231191,LTE,-89.05814706,-94.8180882,-84.78332066
5911,Gardanibagh,-89.78799635,1.932114909,141.7885731,LTE,-88.84494826,-96.99592099,-88.44494321
5912,Kumhrar,-84.75804168,2.241611066,138.4492457,LTE,-80.38723378,-91.225549,-82.53021001
5913,S.K. Puri,-95.82722773,7.413547465,77.25216378,4G,-94.93773057,-105.6508812,-93.50010266
5914,Patliputra Colony,-90.36818868,5.706933738,61.75697684,4G,-94.75953311,-98.99637407,-88.45147277
5915,Kidwaipuri,-88.15851121,2.614315434,154.4269895,LTE,-91.09333673,-97.41049892,-90.77672259
5916,S.K. Puri,-93.71278899,96.87837774,30.45752229,5G,-95.21228626,-102.6371478,-91.64951771
5917,Boring Road,-88.68495128,6.846494102,75.31079449,4G,-88.54858439,-94.98848243,-86.83408351
5918,Boring Road,-91.67968411,1.609829963,188.2274735,LTE,-91.76437614,-97.94070983,-90.71801375
5919,Kumhrar,-95.31044745,86.39520084,38.51099695,5G,-94.72057238,-103.0729623,-95.79369094
5920,Patliputra Colony,-86.10047229,8.609323854,75.76390985,4G,-82.26268805,-92.53648687,-87.7961633
5921,Anandpuri,-87.65291673,7.901923782,51.10071203,4G,-85.82002709,-96.51131216,-89.29303873
5922,Anandpuri,-89.38013169,20.50766785,48.80826541,5G,-92.84781876,-95.22776898,-89.5379856
5923,Anandpuri,-97.09023677,97.50164828,19.08973703,5G,-99.80502517,-102.487818,-98.37890511
5924,S.K. Puri,-89.63313508,9.770962358,90.58724085,4G,-92.66163468,-97.74482736,-87.74301995
5925,Bailey Road,-83.4015106,1.595710223,164.6114052,LTE,-78.75178545,-89.13441057,-85.14751958
5926,Anandpuri,-90.86192431,2.630308779,154.0552768,LTE,-95.64951317,-99.78733165,-88.05984021
5927,Gardanibagh,-87.62745924,3.195781424,65.22901684,4G,-85.24393541,-95.46252036,-86.41282363
5928,S.K. Puri,-96.82331206,69.5954712,17.08009599,5G,-101.719808,-103.9188907,-99.42278414
5929,Gardanibagh,-82.76053911,2.457492163,159.7456371,LTE,-80.06338894,-91.61385142,-80.51876622
5930,Patliputra Colony,-91.87156334,61.80978861,26.76684793,5G,-90.72527944,-99.84524035,-90.81877852
5931,Boring Canal Road,-94.57904431,83.9147289,37.88775401,5G,-99.06983234,-100.1269143,-93.81740887
5932,Boring Road,-97.60599012,2.990682252,191.73175,LTE,-99.51465355,-104.1776502,-95.79765947
5933,Gandhi Maidan,-91.44469814,8.65342398,94.40342584,4G,-96.13068857,-98.66495865,-88.78465192
5934,Anisabad,-93.45519257,2.959228959,127.9704603,LTE,-88.73937789,-102.0632544,-91.46274403
5935,Anisabad,-93.8620307,7.318549872,57.24489555,4G,-96.04426701,-101.1004672,-95.24726518
5936,Exhibition Road,-94.55413934,3.056218296,70.22135287,4G,-99.47466134,-103.3064322,-94.54766056
5937,Ashok Rajpath,-90.9110097,2.989015807,129.1944727,LTE,-90.71056165,-98.12663614,-91.90496164
5938,Anisabad,-89.45079592,13.16747845,32.32074968,5G,-93.14570724,-98.97953421,-86.79854112
5939,Patliputra Colony,-89.87389739,7.929973224,69.86218752,4G,-87.75464549,-99.43211674,-91.73375766
5940,Bailey Road,-96.75232759,63.13670599,24.36338806,5G,-100.0518722,-106.6305553,-96.06559255
5941,Kidwaipuri,-100.5824984,59.67033889,28.68881965,5G,-97.05055296,-109.5245942,-100.1444458
5942,Gardanibagh,-96.44181782,90.99950673,25.70697366,5G,-93.64328358,-103.5205642,-94.55903779
5943,Kidwaipuri,-98.64297624,2.193059724,153.7613089,LTE,-100.2662232,-104.5095439,-99.93707113
5944,Anandpuri,-84.00992903,2.227083914,196.684165,LTE,-79.64708244,-89.82780671,-85.43028422
5945,Rajendra Nagar,-95.84936662,1.773195643,187.7843755,LTE,-93.68995052,-101.3055826,-93.8286339
5946,Bankipore,-88.08326613,8.468785852,86.37272675,4G,-86.82317504,-94.8387977,-89.01262285
5947,Anandpuri,-83.80708009,8.227861329,66.1784148,4G,-83.217013,-90.51793309,-83.6728296
5948,Gandhi Maidan,-94.56228026,9.089336915,86.51977359,4G,-90.69859032,-102.9694155,-92.41491643
5949,Boring Road,-92.87688818,21.37438587,10.1285096,5G,-89.18824771,-97.92874683,-91.75396972
5950,Patliputra Colony,-85.86218485,2.722853576,165.8960824,LTE,-82.06091632,-92.09150486,-88.65218798
5951,S.K. Puri,-87.71806559,1.324104678,111.2684209,LTE,-85.23574684,-94.01542857,-87.98213518
5952,Phulwari Sharif,-88.99980314,56.49176841,43.38675506,5G,-92.97486306,-97.41300077,-86.01980136
5953,Pataliputra,-90.09986517,18.59861653,24.82115838,5G,-89.44918094,-97.39567779,-87.16227371
5954,Boring Canal Road,-83.4311161,6.119240279,74.42108815,4G,-79.72569547,-88.9018893,-85.02504483
5955,Bailey Road,-95.54155925,26.71163406,22.16854728,5G,-98.11412974,-102.7880758,-98.44796517
5956,Rajendra Nagar,-89.65355768,5.615843722,69.87289962,4G,-87.48749606,-95.19810787,-88.81835653
5957,S.K. Puri,-89.1135701,8.99155847,50.19642368,4G,-93.82352748,-95.38292039,-86.79456153
5958,Anisabad,-89.17042522,2.35410847,110.3289653,LTE,-87.11786455,-94.78154293,-88.15910286
5959,Ashok Rajpath,-95.42677564,35.54710538,31.00975632,5G,-92.73529014,-105.1243957,-98.09355878
5960,Bailey Road,-93.00130349,1.263446961,180.6920043,LTE,-90.1721188,-98.536463,-91.33091393
5961,Kumhrar,-87.95435626,35.7916689,27.53030083,5G,-84.60478147,-94.61958379,-88.27375033
5962,Anisabad,-97.72961455,60.07931272,33.32151931,5G,-93.31850628,-106.4866909,-97.44744854
5963,Gardanibagh,-86.55839389,4.297564794,59.12443849,4G,-86.20023513,-95.62222189,-88.45297563
5964,Bailey Road,-90.89212901,2.691080016,146.3683887,LTE,-95.82265935,-96.23420613,-92.53250571
5965,Pataliputra,-91.04472486,3.273333816,84.14232075,4G,-90.351935,-97.87978007,-91.70094909
5966,Danapur,-96.23123707,58.08496579,26.96262376,5G,-99.86049374,-101.7307335,-96.32329939
5967,S.K. Puri,-92.42710282,7.666424116,57.16916388,4G,-93.6242679,-99.98979108,-93.27434083
5968,Fraser Road,-91.59574138,47.80541454,36.72593802,5G,-88.1233017,-98.2384181,-89.18925509
5969,Kankarbagh,-88.55318384,94.92932043,35.12810038,5G,-85.38919763,-95.51705593,-90.96255123
5970,Boring Road,-90.15802627,5.210105308,62.57227068,4G,-86.55832227,-99.14434084,-87.7786563
5971,Anandpuri,-92.07762457,73.64709898,28.27154774,5G,-87.97707664,-98.49766297,-95.06118833
5972,Exhibition Road,-89.95276341,1.328577854,160.5439224,LTE,-92.37533468,-95.87263449,-88.85092148
5973,Gandhi Maidan,-96.96708357,29.96780429,22.67512468,5G,-101.6082937,-102.5392442,-95.8301936
5974,Danapur,-93.38777446,73.66257872,15.54175071,5G,-97.27729642,-101.4361216,-95.60672831
5975,Gandhi Maidan,-82.97404662,3.450815362,67.6742338,4G,-82.29166843,-90.34943552,-82.08584695
5976,Anandpuri,-102.8458299,56.01763468,39.32182043,5G,-100.4666108,-108.6098699,-103.0315726
5977,Exhibition Road,-94.48564002,18.53333358,16.05032038,5G,-98.19822853,-103.0625265,-95.33291262
5978,Kankarbagh,-90.53157943,2.850884952,170.6908645,LTE,-88.40326039,-99.62492412,-87.78189727
5979,Rajendra Nagar,-88.95576195,3.299484354,54.9130955,4G,-89.09599645,-94.20260811,-91.52389549
5980,Anandpuri,-93.74378104,2.586505271,189.3002755,LTE,-92.83816638,-98.92045774,-95.22790938
5981,Bailey Road,-88.2496025,9.763934643,96.03876008,4G,-86.24169115,-97.58830118,-89.53949339
5982,Kankarbagh,-84.28426112,6.193046649,74.71250485,4G,-88.96172212,-89.60043156,-82.2007502
5983,Rajendra Nagar,-87.89615258,1.762918944,159.455664,LTE,-90.66574362,-95.0472946,-89.74809486
5984,Boring Road,-93.0027939,1.627435083,171.451386,LTE,-91.38605668,-102.1815199,-90.94260899
5985,Fraser Road,-94.20379415,8.86269582,68.04358408,4G,-93.78039151,-99.63103351,-93.86856172
5986,Pataliputra,-90.67920783,10.98228542,35.46553969,5G,-91.82310916,-95.93255914,-87.88281009
5987,Kidwaipuri,-86.04256178,4.437705738,78.79759482,4G,-87.83615212,-93.27773948,-85.91556596
5988,S.K. Puri,-95.12645895,25.31214776,16.21684611,5G,-92.77813858,-100.5170242,-92.68927826
5989,Danapur,-93.60500763,3.405108748,84.34106768,4G,-89.57076378,-101.9453395,-95.9598522
5990,Boring Road,-88.38168671,1.184737689,128.3487528,LTE,-84.39614322,-93.92777619,-88.63558087
5991,Anandpuri,-93.01938633,4.6380585,61.44174095,4G,-92.6760566,-101.6344988,-91.13866181
5992,Kidwaipuri,-96.14788115,33.59160666,48.78862944,5G,-99.6695317,-105.498458,-93.73936134
5993,Boring Canal Road,-89.55068658,33.28563461,10.5103862,5G,-90.26295992,-98.4813779,-90.54308727
5994,Patliputra Colony,-99.72821213,88.90892334,42.04826835,5G,-96.70909305,-106.5798795,-99.48013645
5995,Exhibition Road,-90.88595361,2.549188789,133.8898668,LTE,-91.37074728,-100.7775751,-91.0217824
5996,Anisabad,-89.31067767,7.111699134,97.15951214,4G,-92.6429298,-95.68016189,-91.23021626
5997,Kankarbagh,-93.10718761,77.31904245,30.16221626,5G,-94.60281014,-100.1583228,-95.40993304
5998,Exhibition Road,-91.40960826,9.277289374,72.5924286,4G,-88.12585331,-97.48836308,-92.59799955
5999,Bailey Road,-86.53941559,8.228126807,59.56495826,4G,-88.51288434,-94.87620795,-89.00413047
6000,Fraser Road,-100.8072875,80.41513575,16.12069593,5G,-96.84800149,-110.5235396,-99.43024157
6001,Boring Road,-95.96169909,49.73770802,33.22716292,5G,-98.38073521,-101.3907319,-95.62080965
6002,Kidwaipuri,-99.23424606,32.94215197,19.2110172,5G,-101.3471217,-106.3193598,-98.28095931
6003,Bankipore,-89.35830127,3.013389341,92.05980071,4G,-91.17151802,-98.09388713,-88.15176305
6004,Kidwaipuri,-87.95274685,2.823792269,109.5962543,LTE,-90.90101006,-97.37937468,-87.3036585
6005,Kidwaipuri,-84.41957441,9.089976174,76.39667787,4G,-83.46450256,-93.99421444,-83.07403838
6006,Exhibition Road,-91.76015189,1.955014222,109.0242859,LTE,-89.48575603,-97.44458659,-94.71167561
6007,Pataliputra,-91.32827404,8.426579477,67.7064495,4G,-88.1158077,-99.70322173,-93.94153411
6008,Bankipore,-83.58740914,9.948555162,60.25612477,4G,-86.19342933,-89.34830198,-82.5320024
6009,Gandhi Maidan,-82.34417692,1.489443546,150.8826946,LTE,-81.51591405,-88.78452782,-80.80607981
6010,Fraser Road,-91.11984584,57.17455339,44.47313326,5G,-91.1871345,-99.45178107,-92.40595941
6011,Kumhrar,-86.50594458,9.934101925,54.85932354,4G,-90.83405123,-92.00797838,-86.65311906
6012,Phulwari Sharif,-92.8324746,2.416725486,198.0702288,LTE,-89.07217822,-102.5926907,-95.17442132
6013,Gardanibagh,-96.93221993,1.92651269,134.055014,LTE,-93.70726438,-106.6186846,-96.96572559
6014,Bailey Road,-93.2446685,1.642474543,155.6113966,LTE,-91.54464787,-98.49104406,-95.86295385
6015,Phulwari Sharif,-85.9309564,1.089911674,131.0647718,LTE,-84.51028873,-93.78892003,-83.44845348
6016,Ashok Rajpath,-83.55625652,7.889403693,61.62005537,4G,-82.61915967,-91.01589967,-84.82047201
6017,Anisabad,-99.13829346,60.78182058,11.04681088,5G,-101.2090629,-106.419114,-100.8486132
6018,Kidwaipuri,-85.53980275,5.393864274,52.74625553,4G,-86.81888212,-94.61990209,-87.99804687
6019,Danapur,-91.36481776,1.9208434,109.6445611,LTE,-91.99126236,-97.74611579,-91.02026056
6020,Anandpuri,-83.89262508,4.311776931,50.33204567,4G,-82.57182691,-90.03643072,-86.49801665
6021,Ashok Rajpath,-85.0123576,2.882646123,133.0290147,LTE,-84.57845249,-91.39870079,-82.98197733
6022,Anandpuri,-93.6598919,2.181184539,161.7516311,LTE,-89.39167962,-103.545115,-96.1984429
6023,Exhibition Road,-96.81027669,2.674940563,199.4314823,LTE,-96.50477801,-106.3668613,-99.00017325
6024,Anandpuri,-90.92430701,2.262142348,120.4766349,LTE,-86.68138924,-100.4072209,-90.28278228
6025,Rajendra Nagar,-97.00548031,28.80770022,47.7162865,5G,-97.02447037,-106.5441979,-95.9372989
6026,Kidwaipuri,-88.84713506,5.607355235,55.93360557,4G,-88.88726229,-96.78518159,-90.22631519
6027,Pataliputra,-84.86255681,3.294030799,57.07059029,4G,-83.33101091,-93.2979071,-83.29060213
6028,Kumhrar,-89.82218236,5.298679444,88.69911836,4G,-92.4963242,-97.57636121,-88.14977042
6029,Patliputra Colony,-91.82793176,77.45868656,24.72771924,5G,-90.06028378,-97.58021496,-90.57429255
6030,Kumhrar,-84.83942599,4.523233267,70.96467179,4G,-84.31080818,-90.00255685,-83.94681953
6031,Anandpuri,-109.8246724,32.55173344,30.91470155,5G,-109.8733977,-118.062565,-110.7994905
6032,Bankipore,-90.0589893,2.956709862,176.3955358,LTE,-86.73174845,-96.30899361,-89.42964866
6033,Boring Road,-89.90770493,6.572769268,69.61832347,4G,-91.89662678,-96.62975635,-88.12451163
6034,Phulwari Sharif,-99.88561473,54.51984492,46.52007582,5G,-102.6187455,-106.5975615,-99.76724791
6035,Anandpuri,-98.15069407,72.80465476,18.90761543,5G,-93.81163155,-103.7188058,-97.50037384
6036,Rajendra Nagar,-95.75375591,44.06781864,40.41695395,5G,-98.90180036,-104.0417765,-98.62209932
6037,Pataliputra,-97.42239672,5.172722498,92.30577905,4G,-101.6361943,-106.360482,-99.39686694
6038,S.K. Puri,-86.78373619,23.83745551,30.71689058,5G,-89.65612994,-94.10929898,-85.53519273
6039,Gandhi Maidan,-87.30680378,1.208246847,129.8601122,LTE,-87.68228931,-92.31920602,-85.78871504
6040,Kankarbagh,-88.60685046,69.03083981,24.58599687,5G,-85.79900743,-94.38333025,-91.29242582
6041,Phulwari Sharif,-90.69323223,1.878219423,176.5639586,LTE,-86.99099946,-97.91523669,-92.42491638
6042,Bailey Road,-93.83214303,6.680920243,76.75315356,4G,-93.56512827,-100.2235948,-93.7709055
6043,Gardanibagh,-94.98750035,49.71350128,21.81809332,5G,-92.36243268,-100.1581305,-97.24581853
6044,Rajendra Nagar,-91.78275053,3.685165384,81.70054841,4G,-93.45568834,-100.7608148,-92.95592695
6045,Anisabad,-91.7510488,4.203632815,86.70814162,4G,-95.90198506,-100.7569847,-91.92777565
6046,S.K. Puri,-89.8590169,6.397425036,98.47548702,4G,-88.41082686,-97.15316096,-90.8979374
6047,Exhibition Road,-90.20992861,8.921785157,96.24484199,4G,-89.64812051,-97.73542818,-93.00869112
6048,Ashok Rajpath,-92.04614629,80.95905924,35.48661844,5G,-94.91443318,-101.5701443,-93.00230687
6049,Gardanibagh,-92.88984573,45.9712615,12.97125853,5G,-89.18018658,-99.87535804,-93.97141313
6050,Boring Road,-83.84419309,2.760123052,140.6901494,LTE,-88.59552067,-90.03986412,-82.82748619
6051,Ashok Rajpath,-91.11847351,1.022853663,144.4773728,LTE,-95.33316857,-96.13639308,-91.31398036
6052,Anisabad,-85.89919852,6.102835261,66.38141179,4G,-81.63901106,-92.32873852,-87.79965487
6053,Patliputra Colony,-82.46717251,2.131395732,197.1120071,LTE,-77.5290817,-92.38100214,-82.37504463
6054,Patliputra Colony,-88.25401983,2.49402839,145.2564758,LTE,-89.18083984,-94.76324803,-91.07508444
6055,Gardanibagh,-98.88997084,6.415973744,94.49669878,4G,-94.08219682,-106.0729969,-96.76050137
6056,Phulwari Sharif,-88.02255376,70.33625493,15.51899871,5G,-91.60164433,-94.84930925,-89.30609892
6057,Gandhi Maidan,-90.73243898,1.524391978,124.7584802,LTE,-85.79459831,-96.54122332,-92.43473951
6058,Phulwari Sharif,-89.58922252,1.851931393,147.6703208,LTE,-93.62435105,-94.73797845,-89.24088016
6059,Phulwari Sharif,-95.13019991,2.686759871,108.5639607,LTE,-94.69651039,-100.327947,-93.68014834
6060,Kankarbagh,-98.73495058,2.353609868,138.1896296,LTE,-101.7905778,-105.8848517,-100.8214185
6061,Exhibition Road,-84.21316214,7.888912167,51.22112298,4G,-81.56242436,-91.44582756,-81.54975082
6062,Rajendra Nagar,-92.01092935,43.82482402,32.9454108,5G,-91.956293,-98.58463071,-94.97744181
6063,Fraser Road,-89.89436603,1.957914977,106.6013073,LTE,-86.47010968,-95.90981295,-87.92736614
6064,Pataliputra,-95.93896798,44.09186999,15.77273259,5G,-95.28202958,-104.9372759,-94.69148654
6065,Rajendra Nagar,-92.55848568,11.30549908,30.04918783,5G,-88.64828095,-99.1614656,-94.1370063
6066,Kumhrar,-104.9081987,60.84752323,21.27321263,5G,-106.3153569,-114.8273881,-105.8364247
6067,Kidwaipuri,-86.38290983,3.608558916,70.22387562,4G,-84.51660878,-92.52346356,-84.70146067
6068,Bankipore,-95.42091587,1.698133547,120.2379411,LTE,-95.90607063,-104.7827021,-95.91019562
6069,Boring Road,-88.96838265,2.385905433,103.1546035,LTE,-92.15643118,-95.92357585,-87.35043843
6070,Rajendra Nagar,-93.84332407,7.101694795,71.23562936,4G,-98.82825638,-102.3887789,-95.09955487
6071,Kidwaipuri,-90.1699267,1.517224807,157.7133027,LTE,-94.05163481,-99.85587248,-88.86274892
6072,Kidwaipuri,-105.5924324,89.51829432,29.5360782,5G,-102.7490039,-111.432612,-106.1620402
6073,Phulwari Sharif,-89.57542555,1.809642749,153.1946927,LTE,-87.15303711,-95.31747695,-90.90252309
6074,Kankarbagh,-95.32070199,2.453336579,132.7899132,LTE,-95.67723298,-104.4876434,-95.72298465
6075,Anisabad,-99.71522668,40.26705315,15.75677366,5G,-95.08533597,-105.983775,-102.3238319
6076,Anandpuri,-94.25455368,2.180321791,176.636175,LTE,-97.7057597,-102.4676885,-91.42911921
6077,Danapur,-97.13708525,40.41527139,19.11863514,5G,-101.9818362,-106.6554865,-98.52415464
6078,Fraser Road,-87.33097002,2.009226429,148.7177424,LTE,-92.02921103,-94.04484615,-88.15161207
6079,Ashok Rajpath,-85.38083288,2.567104133,124.157914,LTE,-87.36231661,-91.34694875,-85.11227481
6080,Boring Road,-97.03625357,83.79525613,34.27857999,5G,-92.1670988,-103.9393717,-97.8511661
6081,Kidwaipuri,-95.33864218,38.26369053,26.70673683,5G,-91.14155235,-103.7485827,-95.67365323
6082,Exhibition Road,-98.80429783,3.347987778,93.95875501,4G,-102.928027,-107.0594737,-101.3465589
6083,Bailey Road,-87.53098125,62.73812228,27.35820155,5G,-82.53960469,-93.69313949,-86.7140978
6084,Anisabad,-91.20951537,4.476602576,84.87885743,4G,-86.63926418,-99.53334713,-88.70492337
6085,Boring Road,-88.57931069,8.694150553,92.34074555,4G,-90.92368201,-98.20622368,-87.28696991
6086,Patliputra Colony,-90.98840175,7.885153332,69.38692192,4G,-95.71766611,-100.9538258,-89.93377602
6087,Gardanibagh,-96.09737054,2.320009434,127.6927575,LTE,-94.03317987,-102.8433142,-94.24632966
6088,S.K. Puri,-93.00206928,80.04941505,46.1234217,5G,-94.58996587,-101.7891749,-95.54978539
6089,Boring Canal Road,-84.57937561,1.7486312,150.4173256,LTE,-88.04772994,-93.72066921,-86.64767405
6090,Patliputra Colony,-89.75760715,1.079528953,186.9121881,LTE,-90.23828244,-98.37495336,-87.36402091
6091,Ashok Rajpath,-85.74180632,8.768225171,84.27795508,4G,-88.01435215,-92.17929016,-86.57688255
6092,Patliputra Colony,-91.14097074,5.556263579,85.57553008,4G,-86.33838622,-96.60713118,-93.75451964
6093,Danapur,-92.23395705,1.871930745,153.1385965,LTE,-92.82308515,-97.92180161,-93.9162471
6094,Rajendra Nagar,-87.7033442,5.198392229,80.29175296,4G,-90.07483981,-96.46562636,-88.94660723
6095,Gandhi Maidan,-88.92010157,3.072735777,67.04637282,4G,-91.27248404,-95.77852717,-86.675456
6096,Kidwaipuri,-90.82163483,1.887059835,190.4140436,LTE,-90.42214429,-100.7575536,-91.47071288
6097,Kumhrar,-85.12141615,2.437902529,181.9059895,LTE,-88.0748024,-90.58934384,-82.38768591
6098,Gandhi Maidan,-87.22026195,2.619297501,177.8384759,LTE,-82.8657721,-95.52529764,-89.91278491
6099,Fraser Road,-89.75962477,5.602850898,88.33769801,4G,-87.67806135,-99.26631029,-88.50307573
6100,Exhibition Road,-82.4236973,1.948491465,166.9109896,LTE,-77.49886321,-87.98487142,-81.11720819
6101,Ashok Rajpath,-93.35788747,7.863153095,72.93380709,4G,-90.1134943,-99.88185115,-92.81151258
6102,Kankarbagh,-90.74532706,5.686995521,63.67341092,4G,-87.60447547,-96.13528835,-91.43183882
6103,Kidwaipuri,-89.94716672,1.05825186,194.5999942,LTE,-91.14741513,-96.67717672,-91.46919417
6104,Danapur,-92.59156918,1.499732728,163.6327844,LTE,-87.90399482,-102.3229833,-91.16499218
6105,Gardanibagh,-90.81455278,29.91649619,46.6708561,5G,-86.07223216,-96.17036741,-90.79491302
6106,Boring Road,-90.84721214,2.64932971,171.1185987,LTE,-89.3958291,-97.28322343,-89.28782163
6107,Exhibition Road,-91.48537466,3.909730471,95.22644434,4G,-88.22231541,-98.62087391,-88.7508272
6108,Boring Road,-87.7279797,26.84183557,28.76143011,5G,-83.13135029,-97.6677799,-85.51638895
6109,Ashok Rajpath,-89.08914553,7.036267532,92.32338942,4G,-84.58487911,-97.03739879,-88.47473233
6110,Kankarbagh,-113.0828205,87.10713105,26.09669667,5G,-108.0876634,-121.1818122,-113.8982265
6111,Kidwaipuri,-93.36829533,5.506041997,90.22553323,4G,-98.05332751,-99.50575726,-94.32579905
6112,Exhibition Road,-86.41021753,2.471992274,197.922914,LTE,-91.04026787,-92.88941467,-83.48624081
6113,Bailey Road,-91.45341236,2.531511701,166.69418,LTE,-92.17763335,-99.55061402,-89.9528271
6114,Boring Road,-82.53342367,6.697564775,59.72127534,4G,-85.71719117,-92.12211114,-82.4461051
6115,Boring Canal Road,-95.90202716,8.467373949,74.50838287,4G,-92.28322057,-104.0977706,-97.74167666
6116,Boring Road,-92.92381129,88.17625608,35.68991334,5G,-95.02055513,-102.0773928,-93.8926358
6117,Fraser Road,-99.37599249,18.92138206,29.05108462,5G,-97.54182025,-106.7972226,-101.3019567
6118,Anisabad,-88.39522958,71.01153607,48.72967482,5G,-87.96371073,-96.76409506,-87.44916371
6119,Boring Canal Road,-98.90717003,46.45294705,33.03021739,5G,-103.6136169,-106.1241827,-101.8921169
6120,Ashok Rajpath,-97.4057694,3.673955928,92.35883291,4G,-97.61201492,-105.7520891,-100.3286398
6121,Kumhrar,-88.53406475,95.36654622,38.17263129,5G,-89.88250272,-97.95513932,-89.91862959
6122,Bailey Road,-99.93028066,71.03378834,21.09975408,5G,-102.5763645,-109.2826047,-101.9801091
6123,Kidwaipuri,-86.29812336,2.563120114,138.324874,LTE,-91.02416691,-95.16794163,-85.62805394
6124,Kidwaipuri,-87.15541121,1.19938612,175.2468718,LTE,-91.82094663,-94.79275477,-85.16829913
6125,Pataliputra,-95.18673256,42.90065587,25.28230418,5G,-97.89264284,-102.314069,-95.13321376
6126,Kankarbagh,-84.71873224,1.071989847,137.4494412,LTE,-87.98177682,-92.00861976,-84.96816459
6127,Fraser Road,-89.21046352,1.737214506,105.1238778,LTE,-92.22287098,-96.11735908,-87.95124696
6128,Anisabad,-91.53591477,2.183049057,152.6632123,LTE,-88.36019009,-99.7633687,-93.98956862
6129,Anisabad,-86.98713714,4.473851406,52.13179219,4G,-82.86551379,-92.09393921,-88.91127768
6130,Boring Road,-96.75130349,59.54427156,35.38235518,5G,-93.88001171,-102.855496,-94.80469488
6131,Boring Road,-87.79108085,9.284620219,70.82869933,4G,-86.11692967,-96.54725276,-86.45817484
6132,Gardanibagh,-87.28769438,2.633358375,140.2720546,LTE,-85.24697683,-96.54318503,-89.31507437
6133,Kumhrar,-94.06658609,1.910338993,146.1126649,LTE,-90.57729621,-101.6953441,-96.15873337
6134,Boring Road,-100.0643554,23.37996902,25.59958032,5G,-96.44348131,-108.5897133,-99.6361356
6135,S.K. Puri,-82.49411934,1.832487622,134.1854999,LTE,-86.4488139,-89.11683484,-84.93444613
6136,Boring Road,-91.82508982,4.648173985,81.57035823,4G,-88.13731509,-99.46614285,-92.65848855
6137,Boring Canal Road,-102.9382422,64.56486242,16.33501504,5G,-106.4500243,-109.5151748,-103.5395954
6138,Anisabad,-90.00499307,1.10408534,197.6372165,LTE,-85.620427,-99.85680402,-90.30735651
6139,Fraser Road,-91.20193829,50.29361105,29.3342945,5G,-95.591901,-97.86164881,-92.98668849
6140,Bankipore,-91.96971255,89.19643337,32.77136097,5G,-94.98623249,-101.66332,-89.61980007
6141,Kankarbagh,-86.42505416,6.960687071,51.48027507,4G,-84.50204248,-92.29581478,-88.48074871
6142,Danapur,-86.55196015,7.80739678,60.64842601,4G,-86.67869906,-94.23071036,-88.90772779
6143,Gardanibagh,-89.98774613,5.663619747,77.09525189,4G,-89.64974671,-98.22762765,-87.40838448
6144,S.K. Puri,-89.83438353,1.670195621,196.4202461,LTE,-93.13538318,-98.15793593,-87.77451322
6145,Kumhrar,-88.3420496,3.685937403,80.40387545,4G,-90.1562182,-95.89830497,-88.20763955
6146,Bailey Road,-97.48510283,83.89690138,42.77616767,5G,-101.2413705,-107.3495868,-95.38430784
6147,Fraser Road,-102.711587,86.33394195,37.63623357,5G,-106.0059203,-110.8726691,-103.115422
6148,Anisabad,-88.3238837,79.09689389,30.19552565,5G,-89.04962685,-94.86677491,-87.4747327
6149,Patliputra Colony,-87.01853253,6.69684274,58.42966417,4G,-90.02116163,-93.9009997,-84.02486221
6150,Bailey Road,-89.09753603,36.94045077,40.68288723,5G,-88.8495847,-97.53024312,-91.66454465
6151,Boring Road,-93.38082417,1.934084159,139.8165606,LTE,-88.80827909,-99.89513242,-91.69478789
6152,Ashok Rajpath,-94.47986926,69.58923147,18.73860833,5G,-93.61750012,-100.9005701,-95.97475477
